action_id,linked_ticket_id,issue_category,owner,status,created_date,due_date,completion_date,overdue_flag,action_description,implemented_flag
ACT-001,TKT-2024-0014,Software Issue,Service Excellence,Overdue,2024-02-14,2024-02-29,,True,Implement automated monitoring,False
ACT-002,TKT-2024-0040,Access Problem,Manager,Pending,2024-09-23,2024-10-18,,True,Escalate to vendor for resolution,False
ACT-003,TKT-2024-0031,Performance,Team Lead,In Progress,2024-11-01,2024-11-08,,False,Implement additional training session,False
ACT-004,TKT-2024-0046,Software Issue,Team Lead,Completed,2024-04-05,2024-04-27,2024-04-25,False,Schedule follow-up with customer,True
ACT-005,TKT-2024-0018,Access Problem,Team Lead,Pending,2024-06-24,2024-07-20,,True,Review and update troubleshooting procedures,False
ACT-006,TKT-2024-0049,Configuration,Continuous Improvement,Overdue,2024-02-21,2024-03-15,,True,Update knowledge base article,False
ACT-007,TKT-2024-0027,Configuration,Service Excellence,In Progress,2024-08-01,2024-08-31,,False,Implement automated monitoring,False
ACT-008,TKT-2024-0026,Hardware Failure,Manager,Pending,2024-08-07,2024-09-03,,True,Review and update troubleshooting procedures,False
ACT-009,TKT-2024-0033,Software Issue,Service Excellence,Completed,2024-08-19,2024-08-28,2024-08-25,False,Schedule follow-up with customer,True
ACT-010,TKT-2024-0020,Hardware Failure,Manager,Pending,2024-01-07,2024-02-04,,True,Escalate to vendor for resolution,False
ACT-011,TKT-2024-0013,Configuration,Team Lead,Overdue,2024-03-22,2024-04-11,,True,Escalate to vendor for resolution,False
ACT-012,TKT-2024-0005,Performance,Team Lead,In Progress,2024-02-24,2024-03-24,,False,Schedule follow-up with customer,False
ACT-013,TKT-2024-0038,Software Issue,Team Lead,Completed,2024-02-27,2024-03-12,2024-03-11,False,Conduct root cause analysis,True
ACT-014,TKT-2024-0009,Documentation,Service Excellence,In Progress,2024-08-20,2024-09-19,,False,Update knowledge base article,False
ACT-015,TKT-2024-0004,Communication,Team Lead,Pending,2024-03-13,2024-03-26,,True,Schedule follow-up with customer,False
ACT-016,TKT-2024-0007,Configuration,Team Lead,Overdue,2024-07-18,2024-07-28,,True,Update knowledge base article,False
ACT-017,TKT-2024-0042,Documentation,Service Excellence,Completed,2024-08-24,2024-09-11,2024-09-11,False,Schedule follow-up with customer,True
ACT-018,TKT-2024-0047,Hardware Failure,Team Lead,Overdue,2024-04-10,2024-04-18,,True,Implement additional training session,False
ACT-019,TKT-2024-0048,Performance,Manager,Overdue,2024-01-23,2024-02-19,,True,Conduct root cause analysis,False
ACT-020,TKT-2024-0016,Documentation,Manager,Pending,2024-09-06,2024-09-13,,True,Implement automated monitoring,False
ACT-021,TKT-2024-0010,Configuration,Team Lead,Completed,2024-04-27,2024-05-18,2024-05-18,False,Implement automated monitoring,True
ACT-022,TKT-2024-0017,Configuration,Manager,Overdue,2024-03-14,2024-03-24,,True,Implement automated monitoring,False
ACT-023,TKT-2024-0025,Access Problem,Continuous Improvement,Pending,2024-10-31,2024-11-09,,True,Implement additional training session,False
ACT-024,TKT-2024-0035,Software Issue,Team Lead,Overdue,2024-03-08,2024-03-19,,True,Conduct root cause analysis,False
ACT-025,TKT-2024-0032,Access Problem,Service Excellence,Completed,2024-09-17,2024-10-01,2024-09-28,False,Create standard operating procedure,True
ACT-026,TKT-2024-0001,Software Issue,Team Lead,Overdue,2024-07-18,2024-08-08,,True,Create standard operating procedure,False
ACT-027,TKT-2024-0045,Communication,Continuous Improvement,Pending,2024-04-01,2024-04-17,,True,Conduct root cause analysis,False
ACT-028,TKT-2024-0028,Hardware Failure,Team Lead,Pending,2024-05-08,2024-05-21,,True,Conduct root cause analysis,False
ACT-029,TKT-2024-0034,Configuration,Continuous Improvement,Completed,2024-10-17,2024-10-29,2024-10-25,False,Implement additional training session,True
ACT-030,TKT-2024-0006,Configuration,Manager,In Progress,2024-10-28,2024-11-04,,False,Schedule follow-up with customer,False
